PhenID	StudyID	DataSetID	DataSet Name	PhenName	PhenDescription					PhenNorm	Theme	ThemePCN	ThemeCUI	ThemeSTT	TopicPCN	Topic CUI	Topic STT	SOI	SOI CUIs	SOI STT	Category
phv00118162.v2 	 phs000285.v2.p2 	 pht001756.v2 	 E1ECHY10 	 EPWTS1 	 POST WALL THICK - SYSTOLE - 1 	 decimal 	 NONE 	0.71	2.21	 post wall thick systole 1 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
phv00000899.v1 	 phs000007.v18.p7 	 pht000009.v2 	 ex0_7s 	 MF454 	" MOTHER LIVING, EXAM 6 "	 NONE 	 NONE 	 NONE 	 NONE 	 mother living  exam 6 	 NULL 	 NULL 	 NULL 	 NULL 	 medical examination 	 C0582103 	 hlca 	 mother (person) 	 C0026591 	 famg	
phv00031487.v1 	 phs000086.v2.p1 	 pht000264.v1 	 DCCT_f0372 	 CGB1G 	 Elbow - wrist: latency (msec) 	 float 	 MSEC 	 NONE 	 NONE 	 elbow wrist  latency  msec 	 NULL 	 NULL 	 NULL 	 NULL 	 upper extremities taping or strapping 	 C0695657 	 topp 	 study subject 	 C0681850 	 grup	Therapeutic or Preventive Procedure
phv00051012.v1 	 phs000086.v2.p1 	 pht000341.v1 	 EDIC_f0902 	 IOC1BII 	 C1bii. Pain involve: the shoulder 	 byte 	 NONE 	 NONE 	 NONE 	 c1 bii  pain involve  the shoulder 	 NULL 	 NULL 	 NULL 	 NULL 	 pain;pain nos adverse event 	 C0030193;C1962977 	 sosy;fndg 	 study subject 	 C0681850 	 grup	Clinical Attributes;Medical History
phv00034702.v1 	 phs000021.v3.p2 	 pht000287.v1 	 AA_GAIN_phenotype_controls_questionnaire 	 D5 	 Have you ever been very upset with yourself for having any of these fears (unreasonable strong fears)? 	" numbers (see key to right): 1, 2, -1, -2 "	 NONE 	 NONE 	 NONE 	 have you ever been very upset with yourself for having any of these fears  unreasonable strong fears 	 NULL 	 NULL 	 NULL 	 NULL 	 emotional distress;fear (mental process) 	 C0700361;C0015726 	 mobd;menp 	 study subject 	 C0681850 	 grup	Mental or Emotional Finding;Medical History
phv00065822.v1 	 phs000086.v2.p1 	 pht000624.v1 	 EDIC_f0022 	 OBL11 	 L11. Ophthalmic complication: will be sent to ophthalmologist special visit 	 byte 	 NONE 	 NONE 	 NONE 	 l11   ophthalmic complication  will be sent to ophthalmologist special visit 	 NULL 	 NULL 	 NULL 	 NULL 	 complication;health care visit 	 C0009566;C1512346 	 patf;inbe 	 study subject 	 C0681850 	 grup	Healthcare Encounter;Medical History
phv00078627.v3 	 phs000200.v8.p2 	 pht001000.v4 	 f31_rel1 	 ECTPREG 	 How many tubal pregnancies 	 encoded value 	 NONE 	 NONE 	 NONE 	 how many tubal pregnancies 	 NULL 	 NULL 	 NULL 	 NULL 	" pregnancy, tubal "	 C0032994 	 dsyn 	 study subject 	 C0681850 	 grup	Medical History
phv00118410.v2 	 phs000285.v2.p2 	 pht001759.v2 	 E1F05 	 E05PFTM 	 TIME PULMONARY FUNCTION TEST COMPLETED. Q 20 	 integer 	 NONE 	27900	48600	 time pulmonary function test completed  q 20 	 NULL 	 NULL 	 NULL 	 NULL 	 pulmonary function tests 	 C0024119 	 diap 	 study subject 	 C0681850 	 grup	Diagnostic Procedure
phv00123171.v1 	 phs000284.v1.p1 	 pht001902.v1 	 CFS_CARe_Subject_Phenotypes 	 THYRMDYR 	 73 Thyroid medicines in last yr (L) 	 encoded 	 NONE 	 NONE 	 NONE 	 73 thyroid medicines in last year  l 	 NULL 	 NULL 	 NULL 	 NULL 	 pharmaceutical preparations;thyroid (usp);thyroid preparation 	 C0013227;C0040134;C0279175 	" phsu;bacs,orch,phsu;horm,orch,phsu "	 study subject 	 C0681850 	 grup	Medication Patient
phv00161033.v1 	 phs000209.v10.p2 	 pht002195.v2 	 MESA_Exam1ECGContiWaveform 	 bspai1 	" S' Wave Area, Lead I (uVmSec) "	 NUMERIC 	 uVmSec 	 NONE 	 NONE 	 s  wave area  lead i  uvmsec 	 NULL 	 NULL 	 NULL 	 NULL 	" s wave feature;lead;plumbum metallicum, homeopathic preparation "	 C0429094;C0023175;C1442948 	" fndg;elii,hops;inch,phsu "	 study subject 	 C0681850 	 grup	Medication Patient;Substance Use History
phv00030100.v1 	 phs000086.v2.p1 	 pht000248.v1 	 DCCT_ms3exprt 	 AGE 	 Patient's age (years) at baseline 	 byte 	 YEARS 	 NONE 	 NONE 	 patient s age  years  at baseline 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
phv00085741.v2 	 phs000209.v10.p2 	 pht001116.v7 	 MESA_Exam1Main 	 dbp1c 	 SEATED DIASTOLIC BLOOD PRESSURE (mmHg) 	 NUMERIC 	 mmHg 	 NONE 	 NONE 	 seated diastolic blood pressure millimeter hg 	 NULL 	 NULL 	 NULL 	 NULL 	 sitting position;diastolic blood pressure;mercury;intravascular diastolic:pressure:point in time:arterial system:quantitative;diastolic blood pressure measurement 	 C0277814;C0428883;C0025424;C0488052;C1305849 	" fndg;clna;elii,hops;clna;diap "	 study subject 	 C0681850 	 grup	Substance Use History;Clinical Attributes;Medical History
phv00118346.v2 	 phs000285.v2.p2 	 pht001758.v2 	 E1F03 	 E03PYPOC 	 PAY OUT OF POCKET. Q 15B 	 encoded 	 NONE 	 NONE 	 NONE 	 pay out of pocket  q15  b 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
phv00104280.v1 	 phs000287.v2.p1 	 pht001488.v1 	 YR3 	 HFIBO38 	 HIGH FIBER 	 encoded 	 NONE 	 NONE 	 NONE 	 high fiber 	 NULL 	 NULL 	 NULL 	 NULL 	 dietary fiber;fiber 	 C0012173;C0225326 	 food;phsu 	 study subject 	 C0681850 	 grup	Medication Patient;Eating or Nutritional Finding
phv00156515.v2 	 phs000200.v8.p2 	 pht002125.v2 	 f60_nutr_rel1 	 F60TF182 	" Dietary Trans Fatty Acid, 182T (g) "	 decimal 	 g 	0.00066	7.92154	 dietary trans fatty acid 182 t  gram 	 NULL 	 NULL 	 NULL 	 NULL 	 diet 	 C0012155 	 food 	 study subject 	 C0681850 	 grup	Eating or Nutritional Finding
phv00072081.v2 	 phs000007.v18.p7 	 pht000747.v3 	 ex1_8s 	 H054 	 NAME OF MOST RECENT PROGESTERONE PREPARATION 	" encoded,string "	 NONE 	 NONE 	 NONE 	 name of most recent progesterone preparation 	 NULL 	 NULL 	 NULL 	 NULL 	 progesterone 	 C0033308 	" horm,phsu,strd "	 study subject 	 C0681850 	 grup	Medication Patient
phv00003232.v1 	 phs000007.v18.p7 	 pht000019.v3 	 ex0_17s 	 FJ344 	 NON-CARDIOVASCULAR DIAGNOSIS: URINARY TRACT DISEASE 	 NONE 	 NONE 	 NONE 	 NONE 	 non cardiovascular diagnosis  urinary tract disease 	 NULL 	 NULL 	 NULL 	 NULL 	 cardiovascular diagnosis;urologic diseases 	 C0679562;C0042075 	 diap;dsyn 	 study subject 	 C0681850 	 grup	Diagnostic Procedure;Medical History
phv00141963.v2 	 phs000007.v18.p7 	 pht002075.v4 	 t_autbr_2011_m_0709s 	 P2_25_R 	" Area 19: Subcortical Deep White Matter: Senile Plaques (neuritic), right "	 encoded 	 Number of plaques per field 	 NONE 	 NONE 	 area 19  subcortical deep white matter  senile plaques  neuritic   right 	 NULL 	 NULL 	 NULL 	 NULL 	 senile plaques;neuritis 	 C0333463;C0027813 	 acab;dsyn 	 study subject 	 C0681850 	 grup	Medical History
phv00120752.v2 	 phs000285.v2.p2 	 pht001852.v2 	 F2CATECH 	 FL1NEPI 	 URINARY NOREPINEPHRINE (pmol/ml) 	 decimal 	 pmol/ml 	20.28	807.98	 urinary norepinephrine  pmol/ml 	 NULL 	 NULL 	 NULL 	 NULL 	 urine norepinephrine measurement 	 C0428372 	 lbpr 	 study subject 	 C0681850 	 grup	Lab Tests Patient
phv00014953.v1 	 phs000017.v3.p1 	 pht000057.v1 	 EA_DIGS3_Data 	 GAS___IMPAIR_CODE 	" D9.c. Gas - Impair Code, (Participants with European ancestry). DIGS3 "	 NONE 	 NONE 	 NONE 	 NONE 	 d9 c  gas impair code   participants with european ancestry   digs3 	 Ethnicity 	 ethnic european 	 C0239307 	 popg 	 flatulence;gastrointestinal gas;impaired health 	 C0016204;C0596601;C0684336 	 sosy;sosy;fndg 	 participant 	 C0679646 	 popg	Demographics Patient;Medical History
phv00161200.v1 	 phs000209.v10.p2 	 pht002195.v2 	 MESA_Exam1ECGContiWaveform 	 mxstavf1 	" Maximum of STJ,STM, STE Amplitudes, Lead AVF (uV) "	 NUMERIC 	 uV 	 NONE 	 NONE 	 maximum of stj stm  st elevation amplitudes  lead exploring electrode located at the left foot u v 	 NULL 	 NULL 	 NULL 	 NULL 	" microscopy, scanning tunneling;st segment elevation (finding);lead;plumbum metallicum, homeopathic preparation "	 C0079837;C0520886;C0023175;C1442948 	" lbpr;fndg;elii,hops;inch,phsu "	 study subject 	 C0681850 	 grup	Medication Patient;Lab Tests Patient;Substance Use History;Medical History
phv00122435.v1 	 phs000284.v1.p1 	 pht001902.v1 	 CFS_CARe_Subject_Phenotypes 	 ADENREAS 	 Reason for removing adenoids (C) 	 encoded 	 NONE 	 NONE 	 NONE 	 reason for removing adenoids  c 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
phv00127690.v1 	 phs000286.v3.p1 	 pht001963.v1 	 MHXA 	 MHXA14F 	 14f: Specify other pain location 	 string 	 NONE 	 NONE 	 NONE 	 14 f  specify other pain location 	 NULL 	 NULL 	 NULL 	 NULL 	 fluorides;pain;pain nos adverse event;pain - other 	 C0016327;C0030193;C1962977;C0237283 	" inch,phsu;sosy;fndg;fndg "	 study subject 	 C0681850 	 grup	Medication Patient;Clinical Attributes;Medical History
phv00100686.v1 	 phs000287.v2.p1 	 pht001457.v1 	 CARE_DDDIMER_WEIGHTS_1_10 	 SAMPWT 	" Sample prob weight, excluding death grp "	 decimal 	 NONE 	1	9.918667	 sample prob weight  excluding death grp 	 NULL 	 NULL 	 NULL 	 NULL 	 cessation of life;death (finding);weighing patient 	 C0011065;C1306577;C1305866 	 orgf;fndg;diap 	 study subject 	 C0681850 	 grup	Clinical Attributes;Medical History
phv00029242.v1 	 phs000086.v2.p1 	 pht000242.v1 	 DCCT_f003cmb2 	 OCP2B 	 Profilset not sent because: patient forgot to do collection 	 byte 	 NONE 	 NONE 	 NONE 	 profilset not sent because  patient forgot to do collection 	 NULL 	 NULL 	 NULL 	 NULL 	 forgetting 	 C0598853 	 mobd 	 study subject 	 C0681850 	 grup	Medical History
phv00127236.v1 	 phs000286.v3.p1 	 pht001954.v1 	 ECGA 	 ecga117 	 R11AMPV2 - R'' Amplitude in lead V2 	 encoded 	 NONE 	 NONE 	 NONE 	 r11ampv2  r   amplitude in lead v2 	 NULL 	 NULL 	 NULL 	 NULL 	 r prime 	 C2603358 	 clna 	 study subject 	 C0681850 	 grup	
phv00106270.v1 	 phs000287.v2.p1 	 pht001490.v1 	 YR5NEW 	 HATT758 	 NAME7 HAVE HEART ATTACK 	 encoded 	 NONE 	 NONE 	 NONE 	 name7 have heart attack 	 NULL 	 NULL 	 NULL 	 NULL 	 myocardial infarction 	 C0027051 	 dsyn 	 study subject 	 C0681850 	 grup	Medical History
phv00006628.v1 	 phs000007.v18.p7 	 pht000027.v3 	 ex0_25s 	 FR402 	 ECG - LVH - R>20MM IN ANY LIMB LEAD 	 NONE 	 NONE 	 NONE 	 NONE 	 electrocardiogram left ventricular hypertrophy r>20mm in any limb lead 	 NULL 	 NULL 	 NULL 	 NULL 	 electrocardiogram;left ventricular hypertrophy;r prime;electrocardiography 	 C0013798;C0149721;C2603358;C1623258 	 fndg;dsyn;clna;diap 	 study subject 	 C0681850 	 grup	Diagnostic Procedure;Medical History
phv00104681.v1 	 phs000287.v2.p1 	 pht001489.v1 	 YR4 	 SYMPT109 	 Other symptoms 	 string 	 NONE 	 NONE 	 NONE 	 other symptoms 	 NULL 	 NULL 	 NULL 	 NULL 	 symptoms 	 C1457887 	 sosy 	 study subject 	 C0681850 	 grup	Medical History
phv00172209.v1 	 phs000007.v18.p7 	 pht002890.v1 	 l_icam_2008_m_0431s 	 shareid 	 Unique study participant identification number 	 NONE 	 NONE 	 NONE 	 NONE 	 unique study participant identification number 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
phv00158726.v1 	 phs000228.v3.p1 	 pht002157.v1 	 EMMES_HMP_DTP_DHX_DVD 	 DHXBLD_C 	 Blood lymphatic - coded fields 	 String 	 NONE 	 NONE 	 NONE 	 blood lymphatic coded fields 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
phv00049997.v1 	 phs000086.v2.p1 	 pht000332.v1 	 EDIC_f0422 	 DBJ7A 	" J7a. Potential contributing factors, patient menstruating at time of episode "	 byte 	 NONE 	 NONE 	 NONE 	 j7 a  potential contributing factors  patient menstruating at time of episode 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	Substance Use History
phv00071491.v1 	 phs000167.v1.p1 	 pht000715.v1 	 nonGAIN_Schizophrenia_controls_main 	 X3_Other__Specify_ 	" Now, please check all the ethnic backgrounds that apply to your maternal grandfather (that is, your mother's father).  - If response 17 = Other, Specify "	 :string 	 NONE 	 NONE 	 NONE 	 now  please check all the ethnic backgrounds that apply to your maternal grandfather  that is  your mother s father   if response 17 = other  specify 	 Ethnicity 	 ethnic group 	 C0015031 	 popg 	 application procedure;maternal;disease response;response (communication) 	 C0185125;C1858460;C1704632;C2911692 	 hlca;clna;fndg;menp 	 grand-father;maternal relative;mother (person);father (person) 	 C0337475;C2347083;C0026591;C0015671 	 famg;famg;famg;famg	Demographics Family;Mental or Emotional Finding Family
phv00161749.v1 	 phs000007.v18.p7 	 pht002234.v3 	 l_mtbli1_ex05_1_0610s 	 aspartate 	 Aspartate 	" decimal, encoded "	 NONE 	0.6671	15.6283	 aspartate 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
phv00029165.v1 	 phs000086.v2.p1 	 pht000242.v1 	 DCCT_f003cmb2 	 OCL1CL 	 Ophthalmic complications: retinal abnormality - left eye 	 byte 	 NONE 	 NONE 	 NONE 	 ophthalmic complications  retinal abnormality left eye 	 NULL 	 NULL 	 NULL 	 NULL 	 complication;retinal abnormality;complication aspects 	 C0009566;C0035300;C1171258 	 patf;fndg;patf 	 study subject 	 C0681850 	 grup	Medical History
phv00050741.v1 	 phs000086.v2.p1 	 pht000339.v1 	 EDIC_f0703 	 GODDEYE 	 D1. Health care scheduling. Eye care: could not get appointment 	 byte 	 NONE 	 NONE 	 NONE 	 d1  health candidate gene association resource scheduling  eye candidate gene association resource  could not get appointment 	 NULL 	 NULL 	 NULL 	 NULL 	 mental association;scheduling (procedure) 	 C0004083;C1446911 	 menp;hlca 	 study subject 	 C0681850 	 grup	Mental or Emotional Finding;Healthcare Encounter
phv00100694.v1 	 phs000287.v2.p1 	 pht001460.v1 	 CHS_SHHS1_15K 	 AGE_S1 	 Age = StdyDtqa - DOB 	 integer 	 NONE 	67	100	 age = stdydtqa date of birth 	 Age 	 age;patient date of birth 	 C0001779;C0421451 	 orga;fndg 	 patient date of birth 	 C0421451 	 fndg 	 study subject 	 C0681850 	 grup	Demographics Patient;Medical History
phv00006525.v1 	 phs000007.v18.p7 	 pht000027.v3 	 ex0_25s 	 FR252 	 SMOKING HISTORY SMOKED CIGARETTES REGULARLY IN THE LAST YEAR? 	 NONE 	 NONE 	 NONE 	 NONE 	 smoking history smoked cigarettes regularly in the last year 	 NULL 	 NULL 	 NULL 	 NULL 	 smoking history 	 C1519384 	 fndg 	 study subject 	 C0681850 	 grup	Smoking History
phv00172239.v1 	 phs000007.v18.p7 	 pht002893.v1 	 l_mcp1_2008_m_0432s 	 mcp1 	 Monocyte Chemotactic Protein 1 	 NONE 	 pg/ml 	48.684	2675.57	 monocyte chemotactic protein 1 	 NULL 	 NULL 	 NULL 	 NULL 	 recombinant monocyte chemoattractant protein-1 	 C1522558 	" aapp,imft,phsu "	 study subject 	 C0681850 	 grup	Medication Patient
phv00118555.v2 	 phs000285.v2.p2 	 pht001761.v2 	 E1F08 	 E08VOMIT 	 HEADACHE MADE YOU NAUSEOUS. Q 29 	 encoded 	 NONE 	 NONE 	 NONE 	 headache made you nauseous  q 29 	 NULL 	 NULL 	 NULL 	 NULL 	 headache;nausea 	 C0018681;C0027497 	 sosy;sosy 	 study subject 	 C0681850 	 grup	Medical History
phv00046014.v1 	 phs000017.v3.p1 	 pht000323.v1 	 DIGS2and3_Ped_Data 	 srdcdx1 	" Source of RDC BEFD CODE FOR BEFD1, (Participants with European ancestry). DIGS2 and 3 "	 Num 	 NONE 	 NONE 	 NONE 	 source of rdc befd code for befd1   participants with european ancestry   digs2 and 3 	 Ethnicity 	 ethnic european 	 C0239307 	 popg 	 source;monorden;ring dermoid of cornea 	 C0449416;C0207800;C1867155 	" fndg;orch,phsu;dsyn "	 participant 	 C0679646 	 popg	Demographics Patient;Medication Patient;Medical History
phv00101055.v1 	 phs000287.v2.p1 	 pht001470.v1 	 MRI2RECS 	 ISZAP254 	" INFARCT #2, SIZE - AP "	 decimal 	 NONE 	0.3	5.7	 infarct  number2  size ap 	 NULL 	 NULL 	 NULL 	 NULL 	 infarction 	 C0021308 	 patf 	 study subject 	 C0681850 	 grup	Medical History
phv00035215.v1 	 phs000017.v3.p1 	 pht000292.v1 	 EA_GAIN_phenotype_controls_questionnaire_subset 	 I6 	" Did thinking about these ideas interfere with your life or work, or cause you difficulty with your relatives or friends, or upset you a great deal? (Participants with European ancestry) "	" numbers (see key to right): 1, 2, -1, -2 "	 NONE 	 NONE 	 NONE 	 did thinking about these ideas interfere with your life or work  or cause you difficulty with your relatives or friends  or upset you a great deal   participants with european ancestry 	 Ethnicity 	 ethnic european 	 C0239307 	 popg 	" thinking, function;thinking and speaking disturbances;abstract thinking ability;difficulty;emotional distress "	 C0039869;C0233629;C0459920;C1299586;C0700361 	 menp;mobd;menp;fndg;mobd 	 relative (related person);friend;participant 	 C0080103;C0079382;C0679646 	 famg;popg;popg	Demographics Patient;Mental or Emotional Finding;Medical History
phv00123358.v1 	 phs000284.v1.p1 	 pht001902.v1 	 CFS_CARe_Subject_Phenotypes 	 BDIABENO 	 81 How many brothers with Diabetes 	 encoded 	 NONE 	 NONE 	 NONE 	 81 how many brothers with diabetes 	 NULL 	 NULL 	 NULL 	 NULL 	 diabetes;diabetes mellitus 	 C0011847;C0011849 	 dsyn;dsyn 	 brothers 	 C0337527 	 famg	Medical History Family
phv00162445.v2 	 phs000007.v18.p7 	 pht002350.v2 	 vr_ffreq_ex08_1_0615s 	 NUT_ALA 	 Derived field: Nutrient value: Alanine 	" decimal, encoded "	 gm 	0.83	15.39	 derived field  nutrient value  alanine 	 NULL 	 NULL 	 NULL 	 NULL 	 nutrients 	 C0678695 	 food 	 study subject 	 C0681850 	 grup	Eating or Nutritional Finding
phv00108032.v1 	 phs000287.v2.p1 	 pht001492.v1 	 YR6 	 INFWK59 	" HAD COLD, FLU, INFECTION IN LAST WEEK "	 encoded 	 NONE 	 NONE 	 NONE 	 had cold  flu  infection in last week 	 NULL 	 NULL 	 NULL 	 NULL 	 influenza;infection;common cold;cold sensation 	 C0021400;C0021311;C0009443;C0234192 	 dsyn;dsyn;dsyn;phsf 	 study subject 	 C0681850 	 grup	Medical History
phv00054458.v1 	 phs000017.v3.p1 	 pht000384.v1 	 AA_GAIN_phenotype_controls_questionnaire_subset 	 D3 	 How long have you had any of these fears (unreasonable strong fears)? (African American participants) 	" numbers (see key to right): 1 to 3, -1, -2 "	 NONE 	 NONE 	 NONE 	 how long have you had any of these fears  unreasonable strong fears    african american participants 	 Race 	 african american 	 C0085756 	 popg 	 fear (mental process) 	 C0015726 	 menp 	 participant 	 C0679646 	 popg	Demographics Patient;Mental or Emotional Finding
phv00052190.v1 	 phs000017.v3.p1 	 pht000367.v1 	 GAIN_AA_DIGS4 	 V389 	" E6 Trileptal, (African American participants). DIGS4 "	 NONE 	 NONE 	 NONE 	 NONE 	 e6 trileptal   african american participants   diagnostic interview for genetic studies 	 Race 	 african american 	 C0085756 	 popg 	 trileptal;diagnosis;genetic study 	 C0876196;C0011900;C2827447 	" orch,phsu;fndg;resa "	 participant 	 C0679646 	 popg	Demographics Patient;Medication Patient;Research Attributes
phv00070844.v2 	 phs000007.v18.p7 	 pht000689.v3 	 ffreq1_3s 	 FRNCHFRY 	 FRENCH FRIED POTATOES (20) 	 NONE 	 NONE 	 NONE 	 NONE 	 french fried potatoes  20 	 NULL 	 NULL 	 NULL 	 NULL 	" french fries;potato;solanum tuberosum, potato, homeopathic preparation "	 C1510451;C0032846;C0939910 	 food;food;phsu 	 study subject 	 C0681850 	 grup	Medication Patient;Substance Use History;Eating or Nutritional Finding
phv00029514.v1 	 phs000086.v2.p1 	 pht000243.v1 	 DCCT_ms4exprt 	 SV_99 	" Sural nerve - conduction velocity (m/sec): close-out - Note: As reported in the NeuropathyCodebook (phd000387) the original data show three coding options (.G, .B, .L) which were not properly translated from the original SAS file; instead each of these coded values appears as '.' value in the dataset available through dbGaP. "	 float 	 M/SEC 	 NONE 	 NONE 	 sural nerve conduction velocity  m/sec   close out note  as reported in the neuropathycodebook  phd000387  the original data show three coding options   gram   b   l  which were not properly translated from the original sas file  instead each of these coded values appears as     value in the dataset available through dbgap 	 NULL 	 NULL 	 NULL 	 NULL 	 sural;nerve conduction velocity;reporting 	 C0626053;C0429381;C0700287 	 phsu;fndg;hlca 	 study subject 	 C0681850 	 grup	Medication Patient
phv00113402.v2 	 phs000285.v2.p2 	 pht001575.v2 	 A4F12 	 A12FVC 	 MAXIMUM FVC 	 decimal 	 NONE 	1.68	7.72	 maximum forced vital capacity 	 NULL 	 NULL 	 NULL 	 NULL 	 vital capacity test;capacity.vital.forced:volume:point in time:respiratory system:quantitative 	 C0430511;C0802685 	 diap;clna 	 study subject 	 C0681850 	 grup	Diagnostic Procedure
phv00127927.v1 	 phs000286.v3.p1 	 pht001964.v1 	 MSRA 	 MSRA30F 	 30f: Took medications for blood thinning? 	 encoded 	 NONE 	 NONE 	 NONE 	 30 f  took medications for blood thinning 	 NULL 	 NULL 	 NULL 	 NULL 	 fluorides;pharmaceutical preparations;medications:presence or identity:duration of the study:^patient:nominal;medications:-:point in time:^patient:- 	 C0016327;C0013227;C0802604;C2598133 	" inch,phsu;phsu;clna;clna "	 study subject 	 C0681850 	 grup	Medication Patient
phv00095359.v1 	 phs000280.v1.p1 	 pht001350.v1 	 ARIC_CARE_NUT1V3C1 	 VITD 	 Vitamin D (IU) 	 decimal 	 NONE 	1.47	2349.75	 vitamin d  international unit 	 NULL 	 NULL 	 NULL 	 NULL 	 ergocalciferol;vitamin d 	 C0014695;C0042866 	" orch,phsu,vita;phsu,strd,vita "	 study subject 	 C0681850 	 grup	Medication Patient;Eating or Nutritional Finding
phv00117537.v2 	 phs000285.v2.p2 	 pht001735.v2 	 D1F9TOBA 	 D09ATTMP 	 HOW MANY ATTEMPTS TO QUIT >= 48 HRS. Q 2.05 	 encoded 	 NONE 	 NONE 	 NONE 	 how many attempts to quit >= 48 hours  q 2 05 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
phv00094324.v1 	 phs000280.v1.p1 	 pht001329.v1 	 ARIC_CARE_HHXV2C1 	 HHXB10 	 GENDER OF PARTICIPANT               Q10 	 encoded 	 NONE 	 NONE 	 NONE 	 gender of participant q10 	 Gender 	 gender 	 C0079399 	 orga;orga 	 gender:type:point in time:^patient:nominal 	 C0804628 	 clna 	 participant 	 C0679646 	 popg	Demographics Patient
